0,P,0.5838678350215528
2,P,0.3241280361879006
7,P,0.027093566906812167
11,P,0.017630840574236133
10,15,P,0.01727002335337615
8,15,P,0.015156249226260476
9,10,P,0.004637321094567104
5,10,P,0.0017909653881957013
12,P,0.0017278190021107974
5,8,P,0.0015717591581003007
14,P,0.0014737086602031723
6,P,0.0013865187422016536
13,15,P,4.3508349941858137E-4
4,15,P,3.6256958284900076E-4
10,16,P,3.6008827880459914E-4
3,10,P,3.2381293851763756E-4
8,16,P,3.159974649376465E-4
1,10,P,2.5151294504132456E-4
9,13,P,1.1688902893572358E-4
5,13,P,4.514334737987908E-5
4,5,P,3.7619457571004355E-5
13,16,P,9.07644056033547E-6
4,16,P,7.5637004669516465E-6
