[Priors]
[0.61, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002]
[Bugs]
0
[InitialTests]
0
7
1
2
[TestDetails]
0;[0, 7];[0, 7];1
1;[1];[1];0
2;[1, 2, 3, 4, 5, 7];[1, 2, 3, 4, 5, 7];0
3;[1, 3, 4, 5, 7];[1, 3, 4, 5, 7];0
4;[1, 3, 4, 5, 7, 8];[1, 3, 4, 5, 7, 8];0
5;[1, 2, 3, 5];[1, 2, 3, 5];0
6;[1, 2, 3, 4, 5, 7, 8];[1, 2, 3, 4, 5, 7, 8];0
7;[0, 1, 2, 3, 4, 5, 6, 7, 8];[0, 1, 2, 3, 4, 5, 6, 7, 8];1
8;[3, 7, 8];[3, 7, 8];0
9;[0];[0];1
