[Priors]
[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
[Bugs]
0
1
[InitialTests]
0
7
1
2
[TestDetails]
0;[1];[1];1
1;[3, 8, 9, 10, 15, 19];[3, 8, 9, 10, 15, 19];0
2;[2, 4, 8, 9, 15, 17, 19];[2, 4, 8, 9, 15, 17, 19];0
3;[5, 10, 14, 16, 18, 19, 22];[5, 10, 14, 16, 18, 19, 22];0
4;[2, 22];[2, 22];0
5;[2, 4, 8, 9, 15, 19, 22];[2, 4, 8, 9, 15, 19, 22];0
6;[8, 9, 15, 19];[8, 9, 15, 19];0
7;[0, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22];[0, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22];1
8;[4, 8, 9, 10, 15, 16, 18, 19, 20, 21];[4, 8, 9, 10, 15, 16, 18, 19, 20, 21];0
9;[4, 18, 19, 21, 22];[4, 18, 19, 21, 22];0
10;[2, 4, 5, 14, 15, 16, 17, 18, 19, 22];[2, 4, 5, 14, 15, 16, 17, 18, 19, 22];0
11;[2, 4, 10, 22];[2, 4, 10, 22];0
12;[2, 4, 5, 8, 10, 14, 15, 16, 17, 18, 19, 22];[2, 4, 5, 8, 10, 14, 15, 16, 17, 18, 19, 22];0
13;[7, 8, 15, 19, 22];[7, 8, 15, 19, 22];0
14;[0, 2, 3, 4, 5, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22];[0, 2, 3, 4, 5, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 22];1
15;[8, 9, 10, 15, 19];[8, 9, 10, 15, 19];0
16;[2, 8, 19];[2, 8, 19];0
17;[14, 16, 18, 19, 20, 21];[14, 16, 18, 19, 20, 21];0
18;[2, 4, 10, 13, 22];[2, 4, 10, 13, 22];0
19;[2, 4, 6, 13, 22];[2, 4, 6, 13, 22];0
20;[2, 6, 13, 22];[2, 6, 13, 22];0
