algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.8358288424961882,0.8358288424961882,1.0,0.0,8.0,7.0,1.0
randomForest,0,0,10,0.4148332701288561,0.4148332701288561,0.75,1.0,8.0,7.0,1.0
0.0,0.6,0.0,10,0.9985340830771736,0.9985340830771736,1.0,0.0,8.0,7.0,1.0
0.1,0.6,0.1,10,0.9637990455526549,0.9637990455526549,1.0,0.0,8.0,7.0,1.0
0.2,0.6,0.2,10,0.8988084714988908,0.8988084714988908,1.0,0.0,8.0,7.0,1.0
uniform,0,0,20,0.9509901808721397,0.9509901808721397,1.0,0.0,13.0,11.0,1.0
randomForest,0,0,20,0.5700375564487405,0.5700375564487405,1.0,0.0,13.0,11.0,1.0
0.0,0.6,0.0,20,0.999426307096229,0.999426307096229,1.0,0.0,13.0,11.0,1.0
0.1,0.6,0.1,20,0.9902233288947366,0.9902233288947366,1.0,0.0,13.0,11.0,1.0
0.2,0.6,0.2,20,0.9660469451833772,0.9660469451833772,1.0,0.0,13.0,11.0,1.0
uniform,0,0,30,0.9774631645429327,0.9774631645429327,1.0,0.0,23.0,18.0,1.0
randomForest,0,0,30,0.6772828333411978,0.6772828333411978,1.0,0.0,23.0,18.0,1.0
0.0,0.6,0.0,30,0.9996403012710329,0.9996403012710329,1.0,0.0,23.0,18.0,1.0
0.1,0.6,0.1,30,0.9957951629865739,0.9957951629865739,1.0,0.0,23.0,18.0,1.0
0.2,0.6,0.2,30,0.9891286614426926,0.9891286614426926,1.0,0.0,23.0,18.0,1.0
uniform,0,0,40,0.9774631645429327,0.9774631645429327,1.0,0.0,23.0,18.0,1.0
randomForest,0,0,40,0.6772828333411978,0.6772828333411978,1.0,0.0,23.0,18.0,1.0
0.0,0.6,0.0,40,0.9996403012710329,0.9996403012710329,1.0,0.0,23.0,18.0,1.0
0.1,0.6,0.1,40,0.9957951629865739,0.9957951629865739,1.0,0.0,23.0,18.0,1.0
0.2,0.6,0.2,40,0.9891286614426926,0.9891286614426926,1.0,0.0,23.0,18.0,1.0
