[Priors]
[0.61, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]
[Bugs]
0
[InitialTests]
0
6
1
2
[TestDetails]
0;[0, 3, 5, 12, 15, 16];[0, 3, 5, 12, 15, 16];1
1;[5, 8, 11, 14, 16];[5, 8, 11, 14, 16];0
2;[5, 8, 16];[5, 8, 16];0
3;[5, 11, 13, 16];[5, 11, 13, 16];0
4;[1, 5, 8, 11, 13, 15, 16];[1, 5, 8, 11, 13, 15, 16];0
5;[5, 11, 14, 15];[5, 11, 14, 15];0
6;[0, 4, 5, 8, 11, 15, 16, 17];[0, 4, 5, 8, 11, 15, 16, 17];1
7;[5, 8, 11, 16];[5, 8, 11, 16];0
8;[5, 16];[5, 16];0
9;[14];[14];0
10;[5, 8, 11];[5, 8, 11];0
11;[1, 5, 8, 11, 13, 14];[1, 5, 8, 11, 13, 14];0
12;[0, 6, 7, 8, 15];[0, 6, 7, 8, 15];1
13;[2, 4, 5, 8, 9, 11, 13, 14];[2, 4, 5, 8, 9, 11, 13, 14];0
14;[9];[9];0
15;[8, 14];[8, 14];0
16;[5, 11, 12, 13];[5, 11, 12, 13];0
17;[8];[8];0
18;[0, 1, 2, 5, 9, 10, 11, 13, 14, 15];[0, 1, 2, 5, 9, 10, 11, 13, 14, 15];1
19;[5, 8, 11, 13, 16];[5, 8, 11, 13, 16];0
20;[11, 13];[11, 13];0
21;[5, 6, 11, 13];[5, 6, 11, 13];0
22;[14];[14];0
