algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0,0,0,0,0,7,1,0,0
randomForest,0,0,10,0,0,0,0,0,7,1,0,0
0.0,0.6,0.0,10,0,0,0,0,0,7,1,0,0
0.1,0.6,0.1,10,0,0,0,0,0,7,1,0,0
0.2,0.6,0.2,10,0,0,0,0,0,7,1,0,0
uniform,0,0,20,0,0,0,0,0,11,1,0,0
randomForest,0,0,20,0,0,0,0,0,11,1,0,0
0.0,0.6,0.0,20,0,0,0,0,0,11,1,0,0
0.1,0.6,0.1,20,0,0,0,0,0,11,1,0,0
0.2,0.6,0.2,20,0,0,0,0,0,11,1,0,0
uniform,0,0,30,0,0,0,0,0,18,1,0,0
randomForest,0,0,30,0,0,0,0,0,18,1,0,0
0.0,0.6,0.0,30,0,0,0,0,0,18,1,0,0
0.1,0.6,0.1,30,0,0,0,0,0,18,1,0,0
0.2,0.6,0.2,30,0,0,0,0,0,18,1,0,0
uniform,0,0,40,0,0,0,0,0,18,1,0,0
randomForest,0,0,40,0,0,0,0,0,18,1,0,0
0.0,0.6,0.0,40,0,0,0,0,0,18,1,0,0
0.1,0.6,0.1,40,0,0,0,0,0,18,1,0,0
0.2,0.6,0.2,40,0,0,0,0,0,18,1,0,0
