FileName,inst#,actual,predicted,error,prediction
empire-db\src\main\java\org\apache\empire\db\oracle\OracleSYSDatabase.java,1,2:valid,2:valid,,0.01
empire-db-struts2\src\main\java\org\apache\empire\struts2\jsp\tags\ListPageInfoTag.java,2,2:valid,2:valid,,0.002
empire-db-eclipse-codegen\src\main\java\org\apache\empire\db\eclipse\ui\Navigator.java,3,2:valid,2:valid,,0.0
empire-db\src\main\java\org\apache\empire\db\DBRowSet.java,4,2:valid,2:valid,,0.206
empire-db-codegen\src\main\java\org\apache\empire\db\codegen\CodeGenerator.java,5,2:valid,2:valid,,0.047
empire-db\src\test\java\org\apache\empire\db\expr\set\DBSetExprTest.java,6,2:valid,2:valid,,0.001
empire-db\src\main\java\org\apache\empire\db\expr\join\DBCompareJoinExpr.java,7,2:valid,2:valid,,0.0
empire-db-examples\empire-db-example-spring\src\main\java\org\apache\empire\spring\example1\SampleDB.java,8,2:valid,2:valid,,0.001
empire-db-jsf2\src\main\java\org\apache\empire\jsf2\controls\SelectInputControl.java,9,2:valid,2:valid,,0.041
empire-db\src\main\java\org\apache\empire\exceptions\InternalException.java,10,2:valid,2:valid,,0.062
empire-db\src\main\java\org\apache\empire\db\expr\column\DBConcatExpr.java,11,2:valid,2:valid,,0.013
empire-db-spring\src\main\java\org\apache\empire\spring\DBRecordWriter.java,12,2:valid,2:valid,,0.0
empire-db-struts2\src\main\java\org\apache\empire\struts2\jsp\controls\TextInputControl.java,13,2:valid,2:valid,,0.071
empire-db\src\main\java\org\apache\empire\commons\Options.java,14,2:valid,2:valid,,0.072
empire-db\src\main\java\org\apache\empire\db\DBRecord.java,15,2:valid,2:valid,,0.264
empire-db-struts2\src\main\java\org\apache\empire\struts2\web\EmpirePortletResult.java,16,2:valid,2:valid,,0.052
empire-db-jsf2\src\main\java\org\apache\empire\jsf2\utils\TagEncodingHelper.java,17,2:valid,2:valid,,0.09
empire-db-codegen\src\main\java\org\apache\empire\db\codegen\CodeGenParser.java,18,2:valid,2:valid,,0.091
empire-db-struts2\src\main\java\org\apache\empire\struts2\html\HtmlTagDictionary.java,19,2:valid,2:valid,,0.017
empire-db-struts2\src\main\java\org\apache\empire\struts2\web\WebRequest.java,20,2:valid,2:valid,,0.005
empire-db\src\main\java\org\apache\empire\commons\ErrorType.java,21,2:valid,2:valid,,0.041
empire-db\src\main\java\org\apache\empire\db\DBQueryColumn.java,22,2:valid,2:valid,,0.0
empire-db-examples\empire-db-example-struts2\src\main\java\org\apache\empire\struts2\websample\db\SampleDB.java,23,2:valid,2:valid,,0.062
empire-db-examples\empire-db-example-spring\src\main\java\org\apache\empire\spring\example2\Department.java,24,2:valid,2:valid,,0.0
empire-db\src\main\java\org\apache\empire\xml\XMLConfiguration.java,25,2:valid,2:valid,,0.105
