FileName,inst#,actual,predicted,error,prediction
apis\openstack-nova\src\main\java\org\jclouds\openstack\nova\v2_0\domain\SecurityGroupRule.java,1,2:valid,2:valid,,0.0
providers\gogrid\src\main\java\org\jclouds\gogrid\features\GridLoadBalancerApi.java,2,2:valid,2:valid,,0.0
apis\cloudstack\src\test\java\org\jclouds\cloudstack\functions\ReuseOrAssociateNewPublicIPAddressTest.java,3,2:valid,2:valid,,0.0
apis\route53\src\main\java\org\jclouds\route53\features\HostedZoneApi.java,4,2:valid,2:valid,,0.0
apis\openstack-nova\src\test\java\org\jclouds\openstack\nova\v2_0\compute\functions\AllocateAndAddFloatingIpToNodeExpectTest.java,5,2:valid,2:valid,,0.0
blobstore\src\main\java\org\jclouds\blobstore\reference\BlobStoreConstants.java,6,2:valid,2:valid,,0.0
compute\src\main\java\org\jclouds\compute\config\BindComputeStrategiesByClass.java,7,2:valid,2:valid,,0.0
apis\byon\src\main\java\org\jclouds\byon\suppliers\NodesParsedFromSupplier.java,8,2:valid,2:valid,,0.0
core\src\main\java\org\jclouds\util\InetAddresses2.java,9,2:valid,2:valid,,0.0
providers\google-compute-engine\src\test\java\org\jclouds\googlecomputeengine\parse\ParseUrlMapListTest.java,10,2:valid,2:valid,,0.0
core\src\main\java\org\jclouds\json\internal\NullHackJsonLiteralAdapter.java,11,2:valid,2:valid,,0.0
blobstore\src\main\java\org\jclouds\blobstore\functions\BlobToHttpGetOptions.java,12,2:valid,2:valid,,0.0
providers\azureblob\src\main\java\org\jclouds\azureblob\blobstore\functions\BlobMetadataToBlobProperties.java,13,2:valid,2:valid,,0.0
apis\cloudstack\src\main\java\org\jclouds\cloudstack\functions\CreateSecurityGroupIfNeeded.java,14,2:valid,2:valid,,0.0
blobstore\src\main\java\org\jclouds\blobstore\strategy\GetDirectoryStrategy.java,15,2:valid,2:valid,,0.0
apis\openstack-nova\src\main\java\org\jclouds\openstack\nova\v2_0\domain\Quota.java,16,2:valid,2:valid,,0.0
blobstore\src\main\java\org\jclouds\blobstore\strategy\ClearListStrategy.java,17,2:valid,2:valid,,0.0
providers\google-cloud-storage\src\main\java\org\jclouds\googlecloudstorage\domain\ProjectTeam.java,18,2:valid,2:valid,,0.0
apis\openstack-cinder\src\main\java\org\jclouds\openstack\cinder\v1\handlers\CinderErrorHandler.java,19,2:valid,2:valid,,0.0
providers\dynect\src\test\java\org\jclouds\dynect\v3\features\GeoRegionGroupApiExpectTest.java,20,2:valid,2:valid,,0.0
apis\cloudstack\src\main\java\org\jclouds\cloudstack\options\CreateIPForwardingRuleOptions.java,21,2:valid,2:valid,,0.0
apis\cloudstack\src\main\java\org\jclouds\cloudstack\domain\StorageType.java,22,2:valid,2:valid,,0.0
scriptbuilder\src\main\java\org\jclouds\scriptbuilder\statements\git\CloneGitRepo.java,23,2:valid,2:valid,,0.0
apis\sqs\src\main\java\org\jclouds\sqs\SQS.java,24,2:valid,2:valid,,0.0
