inst#,actual,predicted,error,prediction
1,2:valid,2:valid,,1
2,2:valid,2:valid,,1
3,2:valid,2:valid,,1
4,2:valid,2:valid,,0.977
5,2:valid,2:valid,,1
6,2:valid,2:valid,,1
7,2:valid,2:valid,,1
8,2:valid,2:valid,,0.985
9,2:valid,2:valid,,1
10,2:valid,2:valid,,1
11,2:valid,2:valid,,0.913
12,2:valid,2:valid,,0.999
13,2:valid,2:valid,,1
14,2:valid,2:valid,,0.887
15,2:valid,2:valid,,0.999
16,2:valid,2:valid,,1
17,2:valid,2:valid,,1
18,2:valid,2:valid,,0.966
19,2:valid,2:valid,,1
20,2:valid,2:valid,,0.583
21,2:valid,2:valid,,0.995
22,2:valid,2:valid,,0.973
23,2:valid,2:valid,,0.999
24,2:valid,2:valid,,0.778
25,2:valid,2:valid,,1
26,2:valid,2:valid,,1
27,2:valid,2:valid,,1
28,2:valid,2:valid,,1
29,2:valid,2:valid,,1
30,2:valid,2:valid,,1
31,2:valid,2:valid,,0.999
32,2:valid,2:valid,,1
33,2:valid,2:valid,,1
34,2:valid,2:valid,,0.996
35,2:valid,2:valid,,0.999
36,2:valid,2:valid,,1
37,2:valid,2:valid,,0.724
38,2:valid,2:valid,,0.981
39,2:valid,2:valid,,1
40,2:valid,2:valid,,0.927
41,2:valid,2:valid,,1
42,2:valid,2:valid,,0.994
43,2:valid,2:valid,,1
44,2:valid,2:valid,,1
45,2:valid,2:valid,,0.788
46,2:valid,2:valid,,1
47,2:valid,2:valid,,1
48,2:valid,2:valid,,1
49,2:valid,2:valid,,1
50,2:valid,2:valid,,0.999
51,2:valid,2:valid,,0.827
52,2:valid,2:valid,,1
53,2:valid,2:valid,,1
54,2:valid,2:valid,,0.999
55,2:valid,2:valid,,0.832
56,2:valid,2:valid,,0.996
57,2:valid,2:valid,,0.964
58,2:valid,2:valid,,1
59,2:valid,2:valid,,0.989
60,2:valid,2:valid,,0.896
61,2:valid,2:valid,,1
62,2:valid,2:valid,,1
63,2:valid,2:valid,,1
64,2:valid,2:valid,,1
65,2:valid,2:valid,,1
66,2:valid,2:valid,,0.962
67,2:valid,2:valid,,0.996
68,2:valid,2:valid,,1
69,2:valid,2:valid,,1
70,2:valid,2:valid,,1
71,2:valid,2:valid,,0.946
72,2:valid,2:valid,,1
73,2:valid,2:valid,,1
74,2:valid,2:valid,,0.996
75,2:valid,2:valid,,0.988
76,2:valid,2:valid,,1
77,2:valid,2:valid,,0.988
78,2:valid,2:valid,,0.999
79,2:valid,2:valid,,1
80,2:valid,2:valid,,1
81,2:valid,2:valid,,0.997
82,2:valid,2:valid,,1
83,2:valid,2:valid,,1
84,2:valid,2:valid,,0.997
85,2:valid,2:valid,,1
86,2:valid,2:valid,,1
87,2:valid,2:valid,,1
88,2:valid,2:valid,,0.998
89,2:valid,2:valid,,1
90,2:valid,2:valid,,1
91,2:valid,2:valid,,1
92,2:valid,2:valid,,0.988
93,2:valid,2:valid,,0.99
94,2:valid,2:valid,,0.615
95,2:valid,2:valid,,1
96,2:valid,2:valid,,0.976
97,2:valid,2:valid,,0.999
98,2:valid,2:valid,,0.996
99,2:valid,2:valid,,1
100,2:valid,2:valid,,0.995
101,2:valid,2:valid,,1
102,2:valid,2:valid,,1
103,2:valid,2:valid,,1
104,2:valid,2:valid,,1
105,2:valid,2:valid,,1
106,2:valid,2:valid,,0.992
107,2:valid,2:valid,,0.99
108,2:valid,2:valid,,0.994
109,2:valid,2:valid,,0.942
110,2:valid,2:valid,,0.989
111,2:valid,2:valid,,0.984
112,2:valid,2:valid,,0.998
113,2:valid,2:valid,,1
114,2:valid,2:valid,,0.899
115,2:valid,2:valid,,0.988
116,2:valid,2:valid,,0.997
117,2:valid,2:valid,,1
118,2:valid,2:valid,,0.99
119,2:valid,2:valid,,0.999
120,2:valid,2:valid,,1
121,2:valid,2:valid,,1
122,2:valid,2:valid,,0.995
123,2:valid,2:valid,,1
124,2:valid,2:valid,,0.999
125,2:valid,2:valid,,1
126,2:valid,2:valid,,0.978
127,2:valid,2:valid,,1
128,2:valid,2:valid,,1
129,2:valid,2:valid,,1
130,2:valid,2:valid,,1
131,2:valid,2:valid,,1
132,2:valid,2:valid,,0.911
133,2:valid,2:valid,,1
134,2:valid,2:valid,,1
135,2:valid,2:valid,,0.992
136,2:valid,2:valid,,1
137,2:valid,2:valid,,1
138,2:valid,2:valid,,0.992
139,2:valid,2:valid,,1
140,2:valid,2:valid,,1
141,2:valid,2:valid,,0.999
142,2:valid,2:valid,,0.999
143,2:valid,2:valid,,1
144,2:valid,2:valid,,0.994
145,2:valid,2:valid,,1
146,2:valid,2:valid,,0.997
147,2:valid,2:valid,,1
148,2:valid,2:valid,,0.999
149,2:valid,2:valid,,1
150,2:valid,2:valid,,0.994
151,2:valid,2:valid,,1
152,2:valid,2:valid,,1
153,2:valid,2:valid,,1
154,2:valid,2:valid,,0.998
155,2:valid,2:valid,,1
156,2:valid,2:valid,,1
157,2:valid,2:valid,,0.946
158,2:valid,2:valid,,0.967
159,2:valid,2:valid,,0.975
160,2:valid,2:valid,,0.991
161,2:valid,2:valid,,1
162,2:valid,2:valid,,1
163,2:valid,2:valid,,0.972
164,2:valid,2:valid,,1
165,2:valid,2:valid,,1
166,2:valid,2:valid,,1
167,2:valid,2:valid,,1
168,2:valid,2:valid,,1
169,2:valid,2:valid,,0.998
170,2:valid,2:valid,,1
171,2:valid,2:valid,,0.999
172,2:valid,2:valid,,0.998
173,2:valid,2:valid,,0.841
174,2:valid,2:valid,,0.999
175,2:valid,2:valid,,1
176,2:valid,2:valid,,1
177,2:valid,2:valid,,0.997
178,2:valid,2:valid,,1
179,2:valid,2:valid,,1
180,2:valid,2:valid,,0.997
181,2:valid,2:valid,,1
182,2:valid,2:valid,,1
183,2:valid,2:valid,,0.871
184,2:valid,2:valid,,1
185,2:valid,2:valid,,1
186,2:valid,2:valid,,0.99
187,2:valid,2:valid,,1
188,2:valid,2:valid,,0.855
189,2:valid,2:valid,,0.998
190,2:valid,2:valid,,0.798
191,2:valid,2:valid,,1
192,2:valid,2:valid,,1
193,2:valid,2:valid,,1
194,2:valid,2:valid,,0.846
195,2:valid,2:valid,,0.67
196,2:valid,2:valid,,0.963
197,2:valid,2:valid,,0.992
198,2:valid,2:valid,,0.995
199,2:valid,2:valid,,0.99
200,2:valid,2:valid,,1
201,2:valid,2:valid,,1
202,2:valid,2:valid,,0.978
203,2:valid,2:valid,,0.999
204,2:valid,2:valid,,1
205,2:valid,2:valid,,0.896
206,2:valid,2:valid,,1
207,2:valid,2:valid,,0.975
208,2:valid,2:valid,,0.982
209,2:valid,2:valid,,0.989
210,2:valid,2:valid,,1
211,2:valid,2:valid,,0.926
212,2:valid,2:valid,,1
213,2:valid,2:valid,,0.993
214,2:valid,2:valid,,0.993
215,2:valid,2:valid,,1
216,2:valid,2:valid,,1
217,2:valid,2:valid,,1
218,2:valid,2:valid,,0.841
219,2:valid,2:valid,,1
220,2:valid,2:valid,,0.998
221,2:valid,2:valid,,1
222,2:valid,2:valid,,0.982
223,2:valid,2:valid,,1
224,2:valid,2:valid,,1
225,2:valid,2:valid,,1
226,2:valid,2:valid,,1
227,2:valid,2:valid,,0.983
228,2:valid,2:valid,,0.967
229,2:valid,2:valid,,0.987
230,2:valid,2:valid,,1
231,2:valid,2:valid,,1
232,2:valid,2:valid,,1
233,2:valid,2:valid,,0.907
234,2:valid,2:valid,,1
235,2:valid,2:valid,,1
236,2:valid,2:valid,,1
237,2:valid,2:valid,,0.574
238,2:valid,2:valid,,0.998
239,2:valid,2:valid,,0.994
240,2:valid,2:valid,,1
241,2:valid,2:valid,,0.936
242,2:valid,2:valid,,1
243,2:valid,2:valid,,0.904
244,2:valid,2:valid,,1
245,2:valid,2:valid,,0.883
246,2:valid,2:valid,,1
247,2:valid,2:valid,,1
248,2:valid,2:valid,,0.975
249,2:valid,2:valid,,0.999
250,2:valid,2:valid,,0.993
251,2:valid,2:valid,,0.994
252,2:valid,2:valid,,1
253,2:valid,2:valid,,0.999
254,2:valid,2:valid,,1
255,2:valid,2:valid,,1
256,2:valid,2:valid,,1
257,2:valid,2:valid,,1
258,2:valid,2:valid,,0.999
259,2:valid,2:valid,,1
260,2:valid,2:valid,,1
261,2:valid,2:valid,,1
262,2:valid,2:valid,,1
263,2:valid,2:valid,,0.971
264,2:valid,2:valid,,0.985
265,2:valid,2:valid,,1
266,2:valid,2:valid,,1
267,2:valid,2:valid,,0.876
