inst#,actual,predicted,error,prediction
1,2:valid,2:valid,,1
2,2:valid,2:valid,,1
3,2:valid,1:bugged,+,0.589
4,2:valid,2:valid,,1
5,2:valid,2:valid,,0.939
6,2:valid,2:valid,,0.866
7,2:valid,2:valid,,0.839
8,2:valid,2:valid,,1
9,1:bugged,1:bugged,,0.866
10,2:valid,2:valid,,1
11,2:valid,2:valid,,1
12,2:valid,2:valid,,0.518
13,2:valid,1:bugged,+,0.79
14,2:valid,2:valid,,1
15,2:valid,2:valid,,1
16,2:valid,2:valid,,1
17,2:valid,2:valid,,0.763
18,2:valid,2:valid,,1
19,2:valid,2:valid,,1
20,2:valid,1:bugged,+,0.566
21,2:valid,2:valid,,1
22,2:valid,2:valid,,0.759
23,2:valid,1:bugged,+,0.763
24,2:valid,2:valid,,0.975
25,2:valid,2:valid,,1
26,2:valid,2:valid,,1
27,2:valid,2:valid,,0.971
28,2:valid,2:valid,,1
29,2:valid,2:valid,,0.998
30,2:valid,2:valid,,1
31,2:valid,2:valid,,1
32,2:valid,2:valid,,0.995
33,1:bugged,1:bugged,,0.738
34,2:valid,2:valid,,0.999
35,2:valid,2:valid,,1
36,2:valid,2:valid,,1
37,2:valid,2:valid,,1
38,2:valid,2:valid,,1
39,2:valid,2:valid,,0.962
40,2:valid,2:valid,,1
41,2:valid,2:valid,,1
42,2:valid,2:valid,,1
43,2:valid,2:valid,,1
44,2:valid,1:bugged,+,0.573
45,2:valid,2:valid,,1
46,2:valid,2:valid,,1
47,2:valid,2:valid,,1
48,2:valid,2:valid,,0.87
49,2:valid,2:valid,,0.907
50,2:valid,2:valid,,1
51,2:valid,2:valid,,1
52,2:valid,2:valid,,1
53,2:valid,2:valid,,1
54,2:valid,1:bugged,+,0.581
55,2:valid,2:valid,,1
56,2:valid,2:valid,,1
57,2:valid,2:valid,,0.866
58,2:valid,2:valid,,1
59,2:valid,2:valid,,1
60,2:valid,2:valid,,0.988
61,2:valid,2:valid,,1
62,2:valid,1:bugged,+,0.702
63,2:valid,2:valid,,0.756
64,2:valid,2:valid,,0.753
65,2:valid,1:bugged,+,0.654
66,2:valid,2:valid,,1
67,2:valid,2:valid,,1
68,2:valid,2:valid,,1
69,2:valid,2:valid,,1
70,2:valid,2:valid,,0.516
71,2:valid,2:valid,,0.646
72,2:valid,2:valid,,1
73,2:valid,2:valid,,1
74,2:valid,2:valid,,1
75,2:valid,2:valid,,1
76,2:valid,1:bugged,+,0.672
77,2:valid,1:bugged,+,0.508
78,2:valid,2:valid,,1
79,2:valid,2:valid,,0.867
80,2:valid,2:valid,,1
81,2:valid,2:valid,,0.712
82,2:valid,2:valid,,1
83,2:valid,2:valid,,0.999
84,2:valid,2:valid,,0.999
85,2:valid,2:valid,,1
86,2:valid,2:valid,,0.739
87,2:valid,2:valid,,1
88,2:valid,2:valid,,1
89,2:valid,2:valid,,0.964
90,2:valid,2:valid,,0.996
91,2:valid,2:valid,,1
92,2:valid,2:valid,,0.555
93,2:valid,2:valid,,1
94,2:valid,2:valid,,1
95,2:valid,2:valid,,1
96,2:valid,2:valid,,1
97,2:valid,2:valid,,1
98,2:valid,1:bugged,+,0.723
99,2:valid,2:valid,,1
100,2:valid,2:valid,,1
101,2:valid,2:valid,,0.975
102,2:valid,2:valid,,0.997
103,2:valid,2:valid,,0.579
104,2:valid,2:valid,,0.887
105,2:valid,2:valid,,1
106,2:valid,2:valid,,0.999
107,2:valid,2:valid,,1
108,2:valid,2:valid,,0.999
109,2:valid,2:valid,,1
110,2:valid,2:valid,,1
111,2:valid,2:valid,,0.662
112,2:valid,2:valid,,1
113,2:valid,2:valid,,1
114,2:valid,2:valid,,1
115,2:valid,2:valid,,1
116,2:valid,2:valid,,1
117,2:valid,2:valid,,0.999
118,2:valid,1:bugged,+,0.723
119,2:valid,1:bugged,+,0.624
120,2:valid,2:valid,,0.994
121,2:valid,1:bugged,+,0.637
122,2:valid,2:valid,,1
123,2:valid,2:valid,,1
124,2:valid,1:bugged,+,0.771
125,2:valid,2:valid,,0.809
126,2:valid,1:bugged,+,0.542
127,1:bugged,1:bugged,,0.65
128,2:valid,1:bugged,+,0.567
129,2:valid,1:bugged,+,0.797
130,2:valid,2:valid,,0.889
131,2:valid,2:valid,,1
132,2:valid,2:valid,,0.885
133,2:valid,2:valid,,1
134,2:valid,2:valid,,1
135,2:valid,1:bugged,+,0.614
136,2:valid,2:valid,,1
137,2:valid,1:bugged,+,0.537
138,2:valid,2:valid,,0.954
139,2:valid,2:valid,,1
140,2:valid,2:valid,,0.863
141,2:valid,1:bugged,+,0.793
142,2:valid,2:valid,,1
143,2:valid,2:valid,,0.998
144,2:valid,2:valid,,1
145,2:valid,1:bugged,+,0.63
146,2:valid,2:valid,,0.808
147,2:valid,2:valid,,0.652
148,2:valid,2:valid,,0.751
149,2:valid,2:valid,,0.763
150,2:valid,2:valid,,1
151,2:valid,2:valid,,0.546
152,2:valid,2:valid,,1
153,2:valid,2:valid,,0.733
154,2:valid,2:valid,,1
155,2:valid,2:valid,,1
156,2:valid,2:valid,,1
157,2:valid,2:valid,,0.997
158,2:valid,2:valid,,0.985
159,2:valid,2:valid,,0.858
160,2:valid,2:valid,,1
161,2:valid,2:valid,,0.782
162,2:valid,2:valid,,0.999
163,2:valid,2:valid,,0.708
164,2:valid,2:valid,,1
165,2:valid,2:valid,,0.949
166,2:valid,2:valid,,1
167,1:bugged,2:valid,+,0.888
168,2:valid,2:valid,,1
169,2:valid,2:valid,,1
170,2:valid,2:valid,,1
171,2:valid,2:valid,,1
172,2:valid,2:valid,,1
173,2:valid,2:valid,,0.968
174,2:valid,2:valid,,1
175,2:valid,2:valid,,1
176,2:valid,2:valid,,1
177,2:valid,2:valid,,1
178,2:valid,1:bugged,+,0.616
179,2:valid,2:valid,,0.671
180,2:valid,2:valid,,1
181,2:valid,2:valid,,0.758
182,2:valid,2:valid,,1
183,2:valid,2:valid,,0.968
184,2:valid,2:valid,,1
185,2:valid,2:valid,,1
186,2:valid,2:valid,,1
187,2:valid,2:valid,,0.983
188,2:valid,1:bugged,+,0.604
189,2:valid,2:valid,,0.901
190,2:valid,2:valid,,0.734
191,2:valid,2:valid,,0.506
192,2:valid,2:valid,,0.802
193,2:valid,2:valid,,0.506
194,2:valid,2:valid,,0.98
195,1:bugged,1:bugged,,0.627
196,2:valid,2:valid,,1
197,2:valid,2:valid,,0.886
198,2:valid,1:bugged,+,0.781
199,2:valid,2:valid,,0.862
200,2:valid,2:valid,,1
201,2:valid,2:valid,,0.579
202,2:valid,1:bugged,+,0.855
203,2:valid,2:valid,,1
204,2:valid,2:valid,,0.762
205,2:valid,2:valid,,0.992
206,2:valid,2:valid,,1
207,2:valid,1:bugged,+,0.729
208,2:valid,2:valid,,1
209,2:valid,2:valid,,1
210,2:valid,2:valid,,1
211,2:valid,2:valid,,1
212,2:valid,2:valid,,1
213,2:valid,2:valid,,0.999
214,2:valid,2:valid,,0.999
215,2:valid,2:valid,,1
216,1:bugged,1:bugged,,0.882
217,2:valid,1:bugged,+,0.754
218,1:bugged,1:bugged,,0.813
219,2:valid,2:valid,,0.747
220,2:valid,2:valid,,0.966
221,2:valid,2:valid,,0.973
222,2:valid,2:valid,,1
223,2:valid,2:valid,,1
224,1:bugged,1:bugged,,0.781
225,2:valid,2:valid,,1
226,2:valid,2:valid,,0.994
227,2:valid,2:valid,,1
228,2:valid,2:valid,,1
229,2:valid,2:valid,,1
230,2:valid,2:valid,,0.999
231,1:bugged,1:bugged,,0.659
232,2:valid,2:valid,,0.811
233,2:valid,2:valid,,1
234,2:valid,1:bugged,+,0.744
235,2:valid,2:valid,,0.764
236,2:valid,2:valid,,0.719
237,2:valid,2:valid,,1
238,2:valid,2:valid,,1
239,2:valid,2:valid,,0.997
240,2:valid,2:valid,,1
241,2:valid,1:bugged,+,0.539
242,2:valid,2:valid,,1
243,2:valid,2:valid,,1
244,2:valid,1:bugged,+,0.562
245,2:valid,2:valid,,0.767
246,2:valid,2:valid,,0.999
247,2:valid,2:valid,,1
248,2:valid,2:valid,,0.998
249,2:valid,1:bugged,+,0.881
250,2:valid,1:bugged,+,0.599
251,2:valid,1:bugged,+,0.53
252,2:valid,2:valid,,1
253,2:valid,2:valid,,0.924
254,2:valid,2:valid,,0.52
255,2:valid,2:valid,,1
256,2:valid,2:valid,,1
257,2:valid,2:valid,,1
258,2:valid,2:valid,,1
259,2:valid,2:valid,,0.998
260,2:valid,2:valid,,0.777
