FileName,inst#,actual,predicted,error,prediction
opennlp-tools\src\test\java\opennlp\tools\formats\ResourceAsStreamFactory.java,1,2:valid,2:valid,,0.002
opennlp-tools\src\test\java\opennlp\tools\sentdetect\NewlineSentenceDetectorTest.java,2,2:valid,2:valid,,0.0
opennlp-tools\src\main\java\opennlp\tools\sentdetect\lang\Factory.java,3,1:bugged,2:valid,+,0.127
opennlp-tools\src\test\java\opennlp\tools\chunker\ChunkSampleTest.java,4,2:valid,2:valid,,0.001
opennlp-tools\src\main\java\opennlp\tools\ml\model\ComparablePredicate.java,5,1:bugged,2:valid,+,0.003
opennlp-tools\src\main\java\opennlp\tools\chunker\ChunkerEvaluator.java,6,2:valid,2:valid,,0.002
opennlp-tools\src\test\java\opennlp\tools\chunker\ChunkerDetailedFMeasureListenerTest.java,7,2:valid,2:valid,,0.0
opennlp-tools\src\main\java\opennlp\tools\formats\NameSampleDataStreamFactory.java,8,1:bugged,2:valid,+,0.001
opennlp-tools\src\main\java\opennlp\tools\cmdline\parser\BuildModelUpdaterTool.java,9,1:bugged,2:valid,+,0.0
opennlp-morfologik-addon\src\main\java\opennlp\morfologik\cmdline\builder\MorfologikDictionaryBuilderTool.java,10,2:valid,2:valid,,0.0
opennlp-uima\src\main\java\opennlp\uima\util\AnnotationIteratorPair.java,11,2:valid,2:valid,,0.0
opennlp-tools\src\test\java\opennlp\tools\lemmatizer\DictionaryLemmatizerMultiTest.java,12,2:valid,2:valid,,0.0
opennlp-tools\src\main\java\opennlp\tools\formats\irishsentencebank\IrishSentenceBankTokenSampleStream.java,13,2:valid,2:valid,,0.0
opennlp-tools\src\main\java\opennlp\tools\formats\muc\Muc6NameSampleStreamFactory.java,14,1:bugged,2:valid,+,0.001
opennlp-tools\src\test\java\opennlp\tools\ml\maxent\io\RealValueFileEventStreamTest.java,15,2:valid,2:valid,,0.002
opennlp-tools\src\test\java\opennlp\tools\util\normalizer\ShrinkCharSequenceNormalizerTest.java,16,2:valid,2:valid,,0.0
opennlp-tools\src\main\java\opennlp\tools\cmdline\chunker\ChunkerCrossValidatorTool.java,17,1:bugged,2:valid,+,0.001
opennlp-tools\src\main\java\opennlp\tools\cmdline\CmdLineTool.java,18,2:valid,2:valid,,0.005
opennlp-tools\src\main\java\opennlp\tools\util\EventTraceStream.java,19,2:valid,2:valid,,0.001
opennlp-tools\src\main\java\opennlp\tools\sentdetect\lang\th\SentenceContextGenerator.java,20,2:valid,2:valid,,0.001
opennlp-tools\src\main\java\opennlp\tools\formats\frenchtreebank\ConstitDocumentHandler.java,21,1:bugged,2:valid,+,0.001
opennlp-tools\src\main\java\opennlp\tools\ml\maxent\quasinewton\QNTrainer.java,22,1:bugged,2:valid,+,0.167
opennlp-tools\src\main\java\opennlp\tools\util\featuregen\OutcomePriorFeatureGenerator.java,23,1:bugged,2:valid,+,0.0
opennlp-tools\src\main\java\opennlp\tools\formats\BioNLP2004NameSampleStream.java,24,1:bugged,2:valid,+,0.003
opennlp-tools\src\main\java\opennlp\tools\util\featuregen\AggregatedFeatureGeneratorFactory.java,25,2:valid,2:valid,,0.0
opennlp-tools\src\main\java\opennlp\tools\cmdline\langdetect\TrainingParams.java,26,2:valid,2:valid,,0.0
