FileName,inst#,actual,predicted,error,prediction
wicket-native-websocket\wicket-native-websocket-core\src\main\java\org\apache\wicket\protocol\ws\api\AbstractWebSocketProcessor.java,1,2:valid,2:valid,,0.0
wicket-core\src\test\java\org\apache\wicket\util\tester\apps_4\EmailPage.java,2,2:valid,2:valid,,0.0
wicket-core\src\main\java\org\apache\wicket\markup\head\CssHeaderItem.java,3,2:valid,2:valid,,0.0
wicket-util\src\main\java\org\apache\wicket\util\LazyInitializer.java,4,2:valid,2:valid,,0.0
wicket-util\src\main\java\org\apache\wicket\util\io\XmlReader.java,5,2:valid,2:valid,,0.014
wicket-examples\src\main\java\org\apache\wicket\examples\customresourceloading\PageFromWebContext.java,6,2:valid,2:valid,,0.0
wicket-util\src\main\java\org\apache\wicket\util\diff\ChangeDelta.java,7,2:valid,2:valid,,0.004
wicket-devutils\src\main\java\org\apache\wicket\devutils\stateless\StatelessComponent.java,8,2:valid,2:valid,,0.0
wicket-core\src\test\java\org\apache\wicket\markupFragments\MyBorder.java,9,2:valid,2:valid,,0.0
wicket-util\src\main\java\org\apache\wicket\util\string\StringValue.java,10,2:valid,2:valid,,0.041
wicket-core\src\main\java\org\apache\wicket\model\Model.java,11,2:valid,2:valid,,0.005
wicket-core\src\test\java\org\apache\wicket\request\cycle\RerenderPage.java,12,2:valid,2:valid,,0.0
wicket-core\src\main\java\org\apache\wicket\markup\html\list\LoopItem.java,13,2:valid,2:valid,,0.0
wicket-examples\src\main\java\org\apache\wicket\examples\repeater\BasePage.java,14,2:valid,2:valid,,0.0
wicket-core\src\main\java\org\apache\wicket\ThreadContext.java,15,2:valid,2:valid,,0.0
wicket-core\src\main\java\org\apache\wicket\markup\MarkupType.java,16,2:valid,2:valid,,0.002
wicket-core\src\main\java\org\apache\wicket\request\resource\caching\version\MessageDigestResourceVersion.java,17,2:valid,2:valid,,0.025
wicket-core\src\test\java\org\apache\wicket\markup\html\basic\XmlPage_1.java,18,2:valid,2:valid,,0.0
wicket-core\src\main\java\org\apache\wicket\RuntimeConfigurationType.java,19,2:valid,2:valid,,0.0
testing\wicket-threadtest\src\main\java\org\apache\wicket\threadtest\apps\app2\Connection.java,20,2:valid,2:valid,,0.0
wicket-core\src\main\java\org\apache\wicket\model\PropertyModel.java,21,2:valid,2:valid,,0.001
wicket-util\src\main\java\org\apache\wicket\util\convert\converter\LocalDateTimeConverter.java,22,2:valid,2:valid,,0.0
wicket-core\src\test\java\org\apache\wicket\util\tester\apps_5\AjaxSubmitLinkClickTest.java,23,2:valid,2:valid,,0.0
testing\wicket-arquillian\src\test\java\org\apache\wicket\arquillian\testing\servletcontext\ArquillianContainerProvidedTest.java,24,2:valid,2:valid,,0.0
wicket-core\src\main\java\org\apache\wicket\core\request\mapper\AbstractBookmarkableMapper.java,25,2:valid,2:valid,,0.0
wicket-examples\src\main\java\org\apache\wicket\examples\authorization\RolesSession.java,26,2:valid,2:valid,,0.0
wicket-examples\src\main\java\org\apache\wicket\examples\encodings\Home.java,27,2:valid,2:valid,,0.0
wicket-core\src\test\java\org\apache\wicket\queueing\bodyisachild\FormGroup.java,28,2:valid,2:valid,,0.0
wicket-core\src\main\java\org\apache\wicket\validation\validator\PatternValidator.java,29,2:valid,2:valid,,0.0
wicket-core\src\test\java\org\apache\wicket\markup\html\form\TextFieldTest.java,30,2:valid,2:valid,,0.0
wicket-examples\src\main\java\org\apache\wicket\examples\customresourceloading\CustomResourceLoadingApplication.java,31,2:valid,2:valid,,0.0
wicket-experimental\wicket-http2\wicket-http2-core\src\main\java\org\apache\wicket\http2\markup\head\PushHeaderItem.java,32,2:valid,2:valid,,0.0
